	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	Outlier	Paralog1	Paralog2	WeightOutliersExcluded	WeightOutliersIncluded
AT2G46660__AT3G61880	0.9020600000000001	0.79365	1746.0	1575.0	0.20956	GF_001512	0.0925	0.8738	4.0	0.1059	False	AT2G46660	AT3G61880	1.0	1.0
AT1G01190__AT2G46660	0.9020600000000001	0.6819	1746.0	1575.0	0.46926999999999996	GF_001512	0.2219	1.599	5.0	0.1387	False	AT1G01190	AT2G46660	0.5	0.5
AT1G01100__AT4G00810	0.9736799999999999	0.8228200000000001	342.0	333.0	0.06213	GF_001558	0.0365	4.3463	5.0	0.0084	False	AT1G01100	AT4G00810	0.5	0.5
AT3G55870__AT5G05730	0.48893000000000003	0.71742	2982.0	1458.0	0.33837	GF_001537	0.1537	6.7592	4.0	0.0227	True	AT5G05730	AT3G55870	0.0	1.0
AT3G27570__AT5G40510	0.73111	0.72644	1350.0	987.0	0.53227	GF_001536	0.2327	1.0703	4.0	0.2175	False	AT5G40510	AT3G27570	1.0	1.0
AT4G26620__AT5G55900	0.90889	0.75876	1350.0	1227.0	0.35420999999999997	GF_001536	0.1363	0.7633	5.0	0.1786	False	AT5G55900	AT4G26620	1.0	1.0
AT1G20670__AT1G76380	0.57775	0.75579	2913.0	1683.0	0.34253	GF_001528	0.1908	0.9563	4.0	0.1995	False	AT1G20670	AT1G76380	1.0	1.0
AT1G53500__AT3G14790	0.9822200000000001	0.8421299999999999	2025.0	1989.0	0.09788999999999999	GF_001552	0.0315	0.9677	4.0	0.0325	False	AT3G14790	AT1G53500	1.0	1.0
AT1G78570__AT3G14790	0.9837	0.7891600000000001	2025.0	1992.0	0.16618	GF_001552	0.0738	1.6539	5.0	0.0446	False	AT1G78570	AT3G14790	0.5	0.5
AT1G78570__AT3G14790	0.9837	0.7891600000000001	2025.0	1992.0	0.16618	GF_001552	0.0738	1.6539	5.0	0.0446	False	AT1G78570	AT3G14790	0.5	0.5
AT1G53500__AT1G78570	0.98519	0.7904800000000001	2025.0	1995.0	0.16919	GF_001552	0.076	2.0177	5.0	0.0377	False	AT1G78570	AT1G53500	0.5	0.5
AT1G64290__AT5G41720	0.39046	0.59444	1383.0	540.0	1.0342	GF_001529	0.4977	1.246	6.0	0.3994	False	AT5G41720	AT1G64290	0.33333	0.33333
AT1G20550__AT1G76270	0.91461	0.8079	1827.0	1671.0	0.20419	GF_001560	0.0875	0.9034	4.0	0.0969	False	AT1G76270	AT1G20550	1.0	1.0
AT3G55630__AT5G05980	0.72511	0.6694	2019.0	1464.0	0.60475	GF_001553	0.2612	1.7592	4.0	0.1485	False	AT5G05980	AT3G55630	1.0	1.0
AT3G55630__AT5G05980	0.72511	0.6694	2019.0	1464.0	0.60475	GF_001553	0.2612	1.7592	4.0	0.1485	False	AT5G05980	AT3G55630	1.0	1.0
AT3G55630__AT5G05980	0.72511	0.6694	2019.0	1464.0	0.60475	GF_001553	0.2612	1.7592	4.0	0.1485	False	AT5G05980	AT3G55630	1.0	1.0
AT2G40320__AT3G11030	0.8680399999999999	0.6825	1455.0	1263.0	0.50476	GF_001584	0.2079	1.6191	5.0	0.1284	False	AT2G40320	AT3G11030	1.0	1.0
AT2G40320__AT5G01620	0.8474200000000001	0.5141899999999999	1455.0	1233.0	1.21661	GF_001584	0.5045	68.9143	6.0	0.0073	True	AT5G01620	AT2G40320	0.0	0.25
AT2G40320__AT5G01620	0.8474200000000001	0.5141899999999999	1455.0	1233.0	1.21661	GF_001584	0.5045	68.9143	6.0	0.0073	True	AT5G01620	AT2G40320	0.0	0.25
AT3G11030__AT5G01620	0.89485	0.52227	1455.0	1302.0	1.25285	GF_001584	0.5086	8.1541	6.0	0.0624	True	AT5G01620	AT3G11030	0.0	0.25
AT3G11030__AT5G01620	0.89485	0.52227	1455.0	1302.0	1.25285	GF_001584	0.5086	8.1541	6.0	0.0624	True	AT5G01620	AT3G11030	0.0	0.25
AT2G38320__AT3G11030	0.82268	0.54219	1455.0	1197.0	1.3458700000000001	GF_001584	0.5426	2.4658	6.0	0.2201	True	AT2G38320	AT3G11030	0.0	0.25
AT2G38320__AT3G11030	0.82268	0.54219	1455.0	1197.0	1.3458700000000001	GF_001584	0.5426	2.4658	6.0	0.2201	True	AT2G38320	AT3G11030	0.0	0.25
AT3G22890__AT5G43780	0.9625799999999999	0.71922	1443.0	1389.0	0.30355	GF_001593	0.138	4.0096	5.0	0.0344	True	AT5G43780	AT3G22890	0.0	0.5
AT3G08890__AT5G01610	0.9497200000000001	0.81765	537.0	510.0	0.18989	GF_001551	0.0819	1.047	5.0	0.0782	False	AT3G08890	AT5G01610	0.5	0.5
AT1G14020__AT2G03280	0.86703	0.8200299999999999	1647.0	1428.0	0.20842	GF_001562	0.0902	0.7303	4.0	0.1235	False	AT1G14020	AT2G03280	1.0	1.0
AT3G02250__AT5G15740	0.92532	0.85039	1647.0	1524.0	0.1504	GF_001562	0.0652	0.6258	5.0	0.1043	False	AT3G02250	AT5G15740	1.0	1.0
AT5G50590__AT5G50690	0.9060600000000001	1.0	990.0	897.0	0.0	GF_001590	0.0	0.0	4.0	0.001	False	AT5G50590	AT5G50690	1.0	1.0
AT1G04570__AT2G33280	0.67333	0.80776	1800.0	1212.0	0.24322	GF_001557	0.1209	0.6021	4.0	0.2008	False	AT2G33280	AT1G04570	1.0	1.0
AT2G45540__AT3G60920	0.63534	0.79757	9066.0	5760.0	0.29548	GF_001548	0.1139	0.4184	5.0	0.2722	False	AT3G60920	AT2G45540	1.0	1.0
AT4G26760__AT5G55230	0.87311	0.8264100000000001	1986.0	1734.0	0.19175999999999999	GF_001581	0.0896	0.6859999999999999	4.0	0.1307	False	AT5G55230	AT4G26760	1.0	1.0
AT5G08020__AT5G61000	0.79762	0.8297399999999999	2268.0	1809.0	0.1586	GF_001549	0.0514	0.9607	5.0	0.0535	False	AT5G61000	AT5G08020	1.0	1.0
AT1G07420__AT2G29390	0.8301299999999999	0.85714	936.0	777.0	0.0972	GF_001547	0.0435	0.7903	4.0	0.055	False	AT2G29390	AT1G07420	1.0	1.0
AT1G55650__AT3G13350	0.63362	0.67574	1392.0	882.0	0.82376	GF_001614	0.3559	0.9172	4.0	0.38799999999999996	False	AT1G55650	AT3G13350	1.0	1.0
AT3G22440__AT4G14900	0.53799	0.81234	2922.0	1572.0	0.17574	GF_001563	0.0839	0.8491	4.0	0.0988	False	AT4G14900	AT3G22440	1.0	1.0
AT1G11990__AT1G62330	0.8296899999999999	0.78363	2061.0	1710.0	0.27644	GF_001561	0.1025	0.8833	4.0	0.1161	False	AT1G62330	AT1G11990	1.0	1.0
AT4G10960__AT4G23920	0.99715	0.83714	1053.0	1050.0	0.12958	GF_001570	0.1464	17.6597	5.0	0.0083	True	AT4G10960	AT4G23920	0.0	0.5
AT1G64440__AT4G10960	0.99145	0.7528699999999999	1053.0	1044.0	0.25768	GF_001570	0.1942	74.1006	6.0	0.0026	True	AT1G64440	AT4G10960	0.0	0.33333
AT1G64440__AT4G10960	0.99145	0.7528699999999999	1053.0	1044.0	0.25768	GF_001570	0.1942	74.1006	6.0	0.0026	True	AT1G64440	AT4G10960	0.0	0.33333
AT1G64440__AT4G23920	0.99145	0.7509600000000001	1053.0	1044.0	0.25966	GF_001570	0.1851	3.1301	6.0	0.0591	True	AT1G64440	AT4G23920	0.0	0.33333
AT1G64440__AT4G23920	0.99145	0.7509600000000001	1053.0	1044.0	0.25966	GF_001570	0.1851	3.1301	6.0	0.0591	True	AT1G64440	AT4G23920	0.0	0.33333
AT4G12000__AT4G22850	0.87834	0.74887	1011.0	888.0	0.44176000000000004	GF_001573	0.2125	0.8016	4.0	0.2651	False	AT4G12000	AT4G22850	1.0	1.0
AT1G12450__AT4G22850	0.8635	0.65292	1011.0	873.0	0.7547	GF_001573	0.3358	1.3245	5.0	0.2536	False	AT1G12450	AT4G22850	0.5	0.5
AT1G06170__AT2G31210	0.7561	0.6129	1476.0	1116.0	0.8605200000000001	GF_001585	0.3913	1.9981	5.0	0.1959	False	AT2G31210	AT1G06170	0.5	0.5
AT4G25620__AT5G52430	0.79264	0.73105	1548.0	1227.0	0.35401	GF_001569	0.1709	1.0924	4.0	0.1565	False	AT5G52430	AT4G25620	1.0	1.0
AT1G63300__AT5G41140	0.47484	0.7765	6021.0	2859.0	0.33168000000000003	GF_001565	0.1748	0.9181	4.0	0.1904	False	AT1G63300	AT5G41140	1.0	1.0
AT1G03457__AT4G03110	0.54843	0.7852	2292.0	1257.0	0.29268	GF_001567	0.1532	0.7114	4.0	0.2153	False	AT1G03457	AT4G03110	1.0	1.0
AT3G48390__AT5G63190	0.86813	0.7943	2184.0	1896.0	0.27788	GF_001588	0.1325	0.7706	4.0	0.172	False	AT5G63190	AT3G48390	1.0	1.0
AT1G03060__AT4G02660	0.92265	0.83519	11364.0	10485.0	0.22382	GF_001574	0.1053	0.5533	4.0	0.1904	False	AT4G02660	AT1G03060	1.0	1.0
AT2G20700__AT4G28280	0.9069799999999999	0.76923	516.0	468.0	0.30476	GF_001605	0.1455	0.9661	4.0	0.1506	False	AT4G28280	AT2G20700	1.0	1.0
AT4G26466__AT5G56170	0.93605	0.67702	516.0	483.0	0.60011	GF_001605	0.2849	1.4769	5.0	0.1929	False	AT4G26466	AT5G56170	1.0	1.0
AT1G29080__AT2G34080	0.961	0.71691	1077.0	1035.0	0.49446	GF_001632	0.2338	1.0679	6.0	0.2189	False	AT1G29080	AT2G34080	0.25	0.25
AT3G09190__AT5G01090	0.8652799999999999	0.72854	1158.0	1002.0	0.54113	GF_001624	0.2433	0.8084	5.0	0.301	False	AT5G01090	AT3G09190	0.5	0.5
AT3G54080__AT5G01090	0.8393799999999999	0.51132	1158.0	972.0	1.4580799999999998	GF_001624	0.7092	2.1569	6.0	0.3288	False	AT3G54080	AT5G01090	0.33333	0.33333
AT3G54080__AT5G01090	0.8393799999999999	0.51132	1158.0	972.0	1.4580799999999998	GF_001624	0.7092	2.1569	6.0	0.3288	False	AT3G54080	AT5G01090	0.33333	0.33333
AT2G19810__AT4G29190	0.82701	0.78415	1266.0	1047.0	0.30637	GF_001618	0.1259	0.914	4.0	0.1377	False	AT2G19810	AT4G29190	1.0	1.0
AT1G49890__AT3G19570	0.93195	0.82381	2028.0	1890.0	0.19852999999999998	GF_001589	0.0765	0.5515	4.0	0.1388	False	AT3G19570	AT1G49890	1.0	1.0
AT2G07675__ATMG00980	1.0	1.0	375.0	375.0	0.0	GF_001597	0.0	0.0	4.0	0.001	False	ATMG00980	AT2G07675	1.0	1.0
ATCG00905__ATCG01230	0.68	1.0	375.0	255.0	0.0	GF_001597	0.0	0.0	6.0	99.0	False	ATCG00905	ATCG01230	0.33333	0.33333
AT3G50080__AT5G67250	0.90669	0.75146	1704.0	1545.0	0.36264	GF_001649	0.1564	1.1615	5.0	0.1346	False	AT5G67250	AT3G50080	1.0	1.0
AT2G21430__AT4G39090	0.9448799999999999	0.8	1143.0	1080.0	0.21593	GF_001634	0.0845	1.0478	4.0	0.0807	False	AT2G21430	AT4G39090	1.0	1.0
AT3G50640__AT5G66800	0.8877	0.63655	561.0	498.0	0.8637600000000001	GF_001661	0.3392	1.0751	5.0	0.3155	False	AT3G50640	AT5G66800	1.0	1.0
AT3G19200__AT3G50640	0.7219300000000001	0.44198000000000004	561.0	405.0	1.75262	GF_001661	0.7575	64.0358	6.0	0.0118	True	AT3G19200	AT3G50640	0.0	0.25
AT1G05630__AT2G31830	0.8170000000000001	0.78072	4164.0	3402.0	0.31922	GF_001639	0.1471	0.7362	4.0	0.1998	False	AT1G05630	AT2G31830	1.0	1.0
AT1G65580__AT2G43900	0.7860199999999999	0.6128899999999999	4164.0	3273.0	0.72122	GF_001639	0.3371	4.3202	6.0	0.078	False	AT1G65580	AT2G43900	0.33333	0.33333
AT3G05120__AT5G27320	0.9346	0.83285	1101.0	1029.0	0.15883	GF_001595	0.0682	0.7265	4.0	0.0939	False	AT5G27320	AT3G05120	1.0	1.0
AT1G30620__AT2G34850	0.53273	0.8404	1329.0	708.0	0.10382999999999999	GF_001598	0.0421	0.9203	4.0	0.0458	False	AT1G30620	AT2G34850	1.0	1.0
AT4G20460__AT5G44480	0.9277700000000001	0.82157	1329.0	1233.0	0.18417999999999998	GF_001598	0.0508	0.9732	5.0	0.0522	False	AT4G20460	AT5G44480	1.0	1.0
AT2G37520__AT3G53680	0.94591	0.7984600000000001	2607.0	2466.0	0.31342	GF_001607	0.1365	0.7351	5.0	0.1857	False	AT2G37520	AT3G53680	1.0	1.0
AT1G02720__AT4G02130	0.91733	0.78973	1125.0	1032.0	0.23549	GF_001611	0.107	0.9532	4.0	0.1123	False	AT4G02130	AT1G02720	1.0	1.0
AT1G02720__AT3G62660	0.9493299999999999	0.7387600000000001	1125.0	1068.0	0.31775	GF_001611	0.129	1.5027	5.0	0.0858	False	AT3G62660	AT1G02720	0.5	0.5
AT1G54130__AT3G14050	0.71975	0.82232	2901.0	2088.0	0.16696	GF_001615	0.0664	0.8266	4.0	0.0804	False	AT1G54130	AT3G14050	1.0	1.0
AT3G53800__AT5G02150	0.6872199999999999	0.68056	1362.0	936.0	0.49538999999999994	GF_001651	0.2029	2.1836	4.0	0.0929	False	AT3G53800	AT5G02150	1.0	1.0
AT3G53800__AT5G02150	0.6872199999999999	0.68056	1362.0	936.0	0.49538999999999994	GF_001651	0.2029	2.1836	4.0	0.0929	False	AT3G53800	AT5G02150	1.0	1.0
AT2G23150__AT5G67330	0.93494	0.71637	1614.0	1509.0	0.33311999999999997	GF_001668	0.1481	3.64	4.0	0.0407	False	AT2G23150	AT5G67330	1.0	1.0
AT3G03480__AT5G17540	0.85965	0.6916100000000001	1539.0	1323.0	0.51268	GF_001602	0.2162	1.1365	4.0	0.1903	False	AT5G17540	AT3G03480	1.0	1.0
AT4G05020__AT4G21490	0.91759	0.84514	1893.0	1737.0	0.16115	GF_001609	0.0752	0.6506	4.0	0.1155	False	AT4G05020	AT4G21490	1.0	1.0
AT2G20800__AT4G28220	0.8985700000000001	0.62669	1893.0	1701.0	0.63503	GF_001609	0.3142	7.1545	6.0	0.0439	True	AT4G28220	AT2G20800	0.0	0.33333
AT4G27130__AT5G54760	1.0	0.9115	339.0	339.0	0.009170000000000001	GF_001628	0.0039	0.5136	4.0	0.0077	False	AT4G27130	AT5G54760	1.0	1.0
AT4G27130__AT5G54760	1.0	0.9115	339.0	339.0	0.009170000000000001	GF_001628	0.0039	0.5136	4.0	0.0077	False	AT4G27130	AT5G54760	1.0	1.0
AT3G01040__AT5G15470	0.9672700000000001	0.87845	1650.0	1596.0	0.0643	GF_001610	0.0317	0.5925	4.0	0.0536	False	AT3G01040	AT5G15470	1.0	1.0
AT2G38180__AT3G11210	0.76453	0.612	981.0	750.0	0.75263	GF_001619	0.3556	2.7972	5.0	0.1271	False	AT3G11210	AT2G38180	1.0	1.0
AT2G38180__AT3G11210	0.76453	0.612	981.0	750.0	0.75263	GF_001619	0.3556	2.7972	5.0	0.1271	False	AT3G11210	AT2G38180	1.0	1.0
AT3G06670__AT5G49390	0.51682	0.52061	2676.0	1383.0	1.28132	GF_001621	1.4232	57.8687	5.0	0.0246	True	AT5G49390	AT3G06670	0.0	0.5
AT1G21410__AT1G77000	0.92545	0.81204	1167.0	1080.0	0.19262	GF_001638	0.1063	0.7842	4.0	0.1356	False	AT1G21410	AT1G77000	1.0	1.0
AT3G07390__AT3G25290	0.56081	0.5274399999999999	1332.0	747.0	0.91786	GF_001631	0.5476	60.0865	5.0	0.0091	True	AT3G07390	AT3G25290	0.0	0.5
AT3G07520__AT5G48400	0.9337	0.66667	2715.0	2535.0	0.67314	GF_001677	0.2981	1.1756	5.0	0.2536	False	AT3G07520	AT5G48400	0.5	0.5
AT4G19950__AT5G44860	0.94135	0.82658	1023.0	963.0	0.19659000000000001	GF_001670	0.0996	0.6583	4.0	0.1513	False	AT5G44860	AT4G19950	1.0	1.0
AT2G40400__AT3G56140	0.9157200000000001	0.81777	2385.0	2184.0	0.22755999999999998	GF_001636	0.0815	0.5409	4.0	0.1507	False	AT3G56140	AT2G40400	1.0	1.0
AT2G40400__AT3G56140	0.9157200000000001	0.81777	2385.0	2184.0	0.22755999999999998	GF_001636	0.0815	0.5409	4.0	0.1507	False	AT3G56140	AT2G40400	1.0	1.0
AT2G07702__ATMG01140	1.0	1.0	456.0	456.0	0.0	GF_001682	0.0	0.0	4.0	0.001	False	ATMG01140	AT2G07702	1.0	1.0
AT2G07702__ATMG01140	1.0	1.0	456.0	456.0	0.0	GF_001682	0.0	0.0	4.0	0.001	False	ATMG01140	AT2G07702	1.0	1.0
ATMG00440__ATMG01140	1.0	1.0	456.0	456.0	0.0	GF_001682	0.0	0.0	5.0	0.4075	False	ATMG00440	ATMG01140	0.5	0.5
ATMG00440__ATMG01140	1.0	1.0	456.0	456.0	0.0	GF_001682	0.0	0.0	5.0	0.4075	False	ATMG00440	ATMG01140	0.5	0.5
AT2G07702__ATMG00440	1.0	1.0	456.0	456.0	0.0	GF_001682	0.0	0.0	5.0	0.1425	False	ATMG00440	AT2G07702	0.5	0.5
AT4G27270__AT5G54500	0.65079	0.73821	945.0	615.0	0.31006999999999996	GF_001652	0.1698	1.2907	4.0	0.1316	False	AT5G54500	AT4G27270	1.0	1.0
AT3G09570__AT5G02630	0.9638	0.74257	1326.0	1278.0	0.48485	GF_001657	0.2208	0.8372	5.0	0.2638	False	AT3G09570	AT5G02630	0.5	0.5
AT1G04300__AT5G43560	0.89861	0.72131	3462.0	3111.0	0.48502	GF_001655	0.11900000000000001	0.5409	5.0	0.2199	False	AT5G43560	AT1G04300	0.5	0.5
AT3G56410__AT5G05190	0.39883	0.39187	4626.0	1845.0	1.9301099999999998	GF_001684	1.015	74.2822	4.0	0.0137	True	AT3G56410	AT5G05190	0.0	1.0
AT2G46380__AT3G61670	0.46952	0.7117899999999999	4626.0	2172.0	0.51882	GF_001684	0.2675	0.8982	5.0	0.2978	False	AT3G61670	AT2G46380	1.0	1.0
AT1G07725__AT2G28640	0.91525	0.6604899999999999	1947.0	1782.0	0.6207600000000001	GF_001672	0.3029	1.2706	4.0	0.2384	False	AT1G07725	AT2G28640	1.0	1.0
AT1G07725__AT5G59730	0.9291200000000001	0.55887	1947.0	1809.0	1.03759	GF_001672	0.4321	4.3975	6.0	0.0983	False	AT5G59730	AT1G07725	0.33333	0.33333
AT1G07725__AT5G59730	0.9291200000000001	0.55887	1947.0	1809.0	1.03759	GF_001672	0.4321	4.3975	6.0	0.0983	False	AT5G59730	AT1G07725	0.33333	0.33333
AT2G28640__AT5G59730	0.9168	0.55574	1947.0	1785.0	1.07113	GF_001672	0.4559	4.1349	6.0	0.1103	False	AT5G59730	AT2G28640	0.33333	0.33333
AT2G28640__AT5G59730	0.9168	0.55574	1947.0	1785.0	1.07113	GF_001672	0.4559	4.1349	6.0	0.1103	False	AT5G59730	AT2G28640	0.33333	0.33333
AT2G44340__AT3G60090	0.65899	0.64569	651.0	429.0	0.7549399999999999	GF_001683	0.3892	1.0946	4.0	0.3555	False	AT2G44340	AT3G60090	1.0	1.0
AT2G42140__AT2G44340	0.7419399999999999	0.48654	651.0	483.0	1.4847	GF_001683	0.7391	1.9566	6.0	0.3778	False	AT2G44340	AT2G42140	0.25	0.25
AT5G11110__AT5G20280	0.92086	0.6852199999999999	3336.0	3072.0	0.41368999999999995	GF_001659	0.1838	3.3634	5.0	0.0547	False	AT5G11110	AT5G20280	1.0	1.0
AT4G18980__AT5G45630	0.7094600000000001	0.6984100000000001	444.0	315.0	0.60402	GF_001686	0.2741	0.9378	4.0	0.2923	False	AT4G18980	AT5G45630	1.0	1.0
AT1G29640__AT2G34340	0.8648600000000001	0.70573	444.0	384.0	0.53801	GF_001686	0.2012	1.0666	5.0	0.1887	False	AT2G34340	AT1G29640	1.0	1.0
AT1G29640__AT4G18980	0.69595	0.62136	444.0	309.0	0.8674200000000001	GF_001686	0.3274	3.1615	6.0	0.1036	True	AT4G18980	AT1G29640	0.0	0.25
AT1G29640__AT4G18980	0.69595	0.62136	444.0	309.0	0.8674200000000001	GF_001686	0.3274	3.1615	6.0	0.1036	True	AT4G18980	AT1G29640	0.0	0.25
AT1G29640__AT5G45630	0.75	0.58859	444.0	333.0	0.98372	GF_001686	0.3672	30.9576	6.0	0.0119	True	AT5G45630	AT1G29640	0.0	0.25
AT1G29640__AT5G45630	0.75	0.58859	444.0	333.0	0.98372	GF_001686	0.3672	30.9576	6.0	0.0119	True	AT5G45630	AT1G29640	0.0	0.25
AT2G07674__ATMG01010	0.35015	0.98588	1011.0	354.0	0.015590000000000001	GF_001669	0.0642	0.2155	4.0	0.2977	False	AT2G07674	ATMG01010	1.0	1.0
AT2G40900__AT3G56620	0.88836	0.7477699999999999	1263.0	1122.0	0.36280999999999997	GF_001676	0.16	0.9828	4.0	0.1628	False	AT2G40900	AT3G56620	1.0	1.0
AT4G11910__AT4G22920	0.87625	0.7722600000000001	897.0	786.0	0.34611	GF_001690	0.1498	0.8590000000000001	4.0	0.1744	False	AT4G11910	AT4G22920	1.0	1.0
AT5G07300__AT5G61910	0.42426	0.81167	4080.0	1731.0	0.20021	GF_001694	0.1004	0.7683	5.0	0.1306	False	AT5G07300	AT5G61910	0.5	0.5
AT1G03880__AT5G44120	0.83704	0.76254	1620.0	1356.0	0.30884	GF_001731	0.147	1.0536	4.0	0.1395	False	AT1G03880	AT5G44120	1.0	1.0
AT1G03880__AT4G28520	0.8333299999999999	0.62815	1620.0	1350.0	0.6971	GF_001731	0.3128	8.8701	5.0	0.0353	True	AT4G28520	AT1G03880	0.0	0.5
AT1G03880__AT4G28520	0.8333299999999999	0.62815	1620.0	1350.0	0.6971	GF_001731	0.3128	8.8701	5.0	0.0353	True	AT4G28520	AT1G03880	0.0	0.5
AT4G28520__AT5G44120	0.85556	0.6342	1620.0	1386.0	0.61756	GF_001731	0.2916	3.1719999999999997	5.0	0.0919	True	AT4G28520	AT5G44120	0.0	0.5
AT4G28520__AT5G44120	0.85556	0.6342	1620.0	1386.0	0.61756	GF_001731	0.2916	3.1719999999999997	5.0	0.0919	True	AT4G28520	AT5G44120	0.0	0.5
AT2G35658__AT4G16840	0.5243899999999999	0.63953	492.0	258.0	0.6479600000000001	GF_001716	0.2847	1.8488	4.0	0.154	False	AT2G35658	AT4G16840	1.0	1.0
AT5G07490__AT5G61630	0.8597600000000001	0.7588699999999999	492.0	423.0	0.34212	GF_001716	0.1282	1.2126	5.0	0.1057	False	AT5G07490	AT5G61630	1.0	1.0
AT2G23060__AT4G37580	0.93721	0.82299	1290.0	1209.0	0.13374	GF_001681	0.0646	0.8621	4.0	0.0749	False	AT4G37580	AT2G23060	1.0	1.0
AT4G37580__AT5G67430	0.8720899999999999	0.67378	1290.0	1125.0	0.47976	GF_001681	0.2056	2.3797	5.0	0.0864	False	AT5G67430	AT4G37580	0.5	0.5
AT2G23060__AT5G67430	0.8907	0.66406	1290.0	1149.0	0.54202	GF_001681	0.2216	1.8840000000000001	5.0	0.1176	False	AT5G67430	AT2G23060	0.5	0.5
AT2G46610__AT3G61860	0.65684	0.77279	1119.0	735.0	0.28734	GF_001708	0.1224	1.3919	4.0	0.08800000000000001	False	AT3G61860	AT2G46610	1.0	1.0
AT2G22850__AT4G37730	0.73052	0.7185199999999999	924.0	675.0	0.49154	GF_001693	0.1715	0.9808	4.0	0.1749	False	AT2G22850	AT4G37730	1.0	1.0
AT2G22850__AT3G49760	0.49026000000000003	0.55629	924.0	453.0	1.0482200000000002	GF_001693	0.4879	57.6459	5.0	0.0085	True	AT3G49760	AT2G22850	0.0	0.5
AT3G49760__AT4G37730	0.50325	0.5828	924.0	465.0	1.0991600000000001	GF_001693	0.4559	1.5381	5.0	0.2964	True	AT3G49760	AT4G37730	0.0	0.5
AT1G01550__AT4G01360	0.88859	0.66866	1131.0	1005.0	0.63081	GF_001697	0.3079	1.5686	4.0	0.1963	False	AT4G01360	AT1G01550	1.0	1.0
AT2G46080__AT4G01360	0.86472	0.57362	1131.0	978.0	0.9510799999999999	GF_001697	0.5056	8.0294	5.0	0.063	True	AT2G46080	AT4G01360	0.0	0.5
AT1G01550__AT2G46080	0.90186	0.63627	1131.0	1020.0	0.56513	GF_001697	0.3186	17.7131	5.0	0.018000000000000002	True	AT2G46080	AT1G01550	0.0	0.5
AT1G01550__AT2G46080	0.90186	0.63627	1131.0	1020.0	0.56513	GF_001697	0.3186	17.7131	5.0	0.018000000000000002	True	AT2G46080	AT1G01550	0.0	0.5
AT2G46080__AT3G61500	0.79576	0.50333	1131.0	900.0	1.60988	GF_001697	0.7367	2.2329	6.0	0.3299	True	AT3G61500	AT2G46080	0.0	0.33333
AT3G61500__AT4G01360	0.77984	0.43537	1131.0	882.0	2.12928	GF_001697	0.8455	69.4022	6.0	0.0122	True	AT3G61500	AT4G01360	0.0	0.33333
AT1G01550__AT3G61500	0.81698	0.44481000000000004	1131.0	924.0	1.7433299999999998	GF_001697	0.7924	25.0948	6.0	0.0316	True	AT3G61500	AT1G01550	0.0	0.33333
AT1G01550__AT3G61500	0.81698	0.44481000000000004	1131.0	924.0	1.7433299999999998	GF_001697	0.7924	25.0948	6.0	0.0316	True	AT3G61500	AT1G01550	0.0	0.33333
AT1G55330__AT3G13520	0.96667	0.76437	180.0	174.0	0.28302	GF_001738	0.1642	48.5574	4.0	0.0034	True	AT1G55330	AT3G13520	0.0	1.0
AT1G55330__AT5G56540	0.96667	0.67816	180.0	174.0	0.54006	GF_001738	0.2766	12.4673	6.0	0.0222	True	AT1G55330	AT5G56540	0.0	0.25
AT1G55330__AT5G56540	0.96667	0.67816	180.0	174.0	0.54006	GF_001738	0.2766	12.4673	6.0	0.0222	True	AT1G55330	AT5G56540	0.0	0.25
AT3G13520__AT5G56540	1.0	0.65	180.0	180.0	0.5328	GF_001738	0.2747	46.3614	6.0	0.0059	True	AT3G13520	AT5G56540	0.0	0.25
AT3G13520__AT5G56540	1.0	0.65	180.0	180.0	0.5328	GF_001738	0.2747	46.3614	6.0	0.0059	True	AT3G13520	AT5G56540	0.0	0.25
AT1G23150__AT1G70780	0.72251	0.82126	573.0	414.0	0.22163000000000002	GF_001687	0.0724	1.2229	5.0	0.0592	False	AT1G23150	AT1G70780	0.5	0.5
AT1G70780__AT5G37730	0.6911	0.49495	573.0	396.0	1.1483299999999999	GF_001687	0.6074	8.7047	6.0	0.0698	True	AT5G37730	AT1G70780	0.0	0.33333
AT2G43020__AT3G59050	0.9293899999999999	0.81588	1572.0	1461.0	0.16716	GF_001692	0.0668	1.0116	4.0	0.0661	False	AT3G59050	AT2G43020	1.0	1.0
AT1G19950__AT1G75700	0.55312	0.742	960.0	531.0	0.54301	GF_001696	0.2237	0.9308	4.0	0.2403	False	AT1G19950	AT1G75700	1.0	1.0
AT2G25520__AT4G32390	0.9858	0.85975	1056.0	1041.0	0.06727000000000001	GF_001741	0.0338	0.9073	4.0	0.0373	False	AT2G25520	AT4G32390	1.0	1.0
AT5G10100__AT5G65140	0.9405700000000001	0.7829699999999999	1161.0	1092.0	0.31948000000000004	GF_001752	0.1391	0.7728	5.0	0.18	False	AT5G65140	AT5G10100	1.0	1.0
AT1G78090__AT5G65140	0.9354	0.6473300000000001	1161.0	1086.0	0.64944	GF_001752	0.2709	3.7383	6.0	0.0725	True	AT1G78090	AT5G65140	0.0	0.25
AT1G78090__AT5G10100	0.92765	0.62117	1161.0	1077.0	0.7767	GF_001752	0.3289	3.7787	6.0	0.087	True	AT1G78090	AT5G10100	0.0	0.25
